Id,ORIGIN,DEST,DELAYS,ON_TIME,FLIGHTS,DELAY_RATIO
1182,DFW,SAT,83.0,241.0,329,25.227963525835865
3553,SAT,DFW,52.0,270.0,329,15.80547112462006
2075,LAS,OAK,118.0,208.0,328,35.97560975609756
2706,MSP,PHX,39.0,286.0,327,11.926605504587156
3958,SNA,DEN,56.0,269.0,327,17.125382262996943
3249,PHX,MSP,40.0,283.0,325,12.307692307692308
1090,DEN,SNA,38.0,285.0,325,11.692307692307692
3901,SLC,ORD,44.0,273.0,324,13.580246913580247
3047,ORD,SLC,75.0,246.0,324,23.14814814814815
3644,SEA,GEG,67.0,254.0,323,20.743034055727556
1553,GEG,SEA,89.0,232.0,323,27.554179566563466
125,ATL,CHS,34.0,286.0,322,10.559006211180124
634,CHS,ATL,27.0,295.0,322,8.385093167701863
3963,SNA,LAS,77.0,240.0,321,23.98753894080997
2094,LAS,SNA,87.0,228.0,321,27.102803738317757
227,ATL,SAV,46.0,273.0,319,14.420062695924765
3577,SAV,ATL,27.0,292.0,319,8.463949843260188
446,BOS,DFW,62.0,251.0,318,19.49685534591195
1746,IAH,ATL,51.0,223.0,318,16.037735849056602
2213,LGA,DTW,33.0,278.0,317,10.410094637223974
3833,SJU,JFK,83.0,227.0,317,26.182965299684543
1589,GSP,ATL,50.0,267.0,317,15.772870662460567
1268,DTW,LGA,59.0,252.0,317,18.61198738170347
162,ATL,GSP,70.0,247.0,317,22.082018927444796
1041,DEN,MCI,72.0,243.0,317,22.71293375394322
946,DCA,MCO,68.0,242.0,316,21.518987341772153
2364,MCO,DCA,78.0,233.0,316,24.68354430379747
3470,RSW,ATL,22.0,294.0,316,6.962025316455696
1986,JFK,SJU,96.0,213.0,315,30.476190476190474
2456,MDW,MSP,66.0,246.0,315,20.952380952380953
224,ATL,RSW,42.0,272.0,315,13.333333333333334
2690,MSP,MDW,55.0,256.0,314,17.515923566878982
1830,IAH,SFO,96.0,167.0,312,30.76923076923077
2151,LAX,OGG,29.0,280.0,312,9.294871794871796
1108,DFW,BOS,71.0,237.0,312,22.756410256410255
2843,OGG,LAX,24.0,285.0,312,7.6923076923076925
3161,PHL,DFW,92.0,215.0,311,29.581993569131832
3289,PIT,ATL,31.0,279.0,311,9.967845659163988
3697,SFO,ATL,81.0,227.0,311,26.04501607717042
231,ATL,SFO,88.0,221.0,311,28.29581993569132
1393,EWR,IAH,65.0,191.0,311,20.90032154340836
1171,DFW,PHL,56.0,250.0,311,18.006430868167204
2538,MIA,JFK,86.0,223.0,310,27.741935483870968
1964,JFK,MIA,80.0,227.0,310,25.806451612903224
3135,PDX,ORD,38.0,268.0,310,12.258064516129032
1772,IAH,EWR,59.0,192.0,310,19.032258064516128
533,BUR,SFO,144.0,151.0,310,46.45161290322581
214,ATL,PIT,39.0,271.0,310,12.580645161290322
3020,ORD,PDX,50.0,256.0,310,16.129032258064516
1954,JFK,FLL,108.0,193.0,309,34.95145631067961
3704,SFO,BUR,104.0,189.0,309,33.65695792880259
3508,SAN,DFW,48.0,256.0,309,15.533980582524272
1181,DFW,SAN,64.0,242.0,309,20.71197411003236
1497,FLL,JFK,106.0,192.0,308,34.41558441558441
2560,MKE,ATL,33.0,275.0,308,10.714285714285714
346,BHM,ATL,21.0,286.0,307,6.840390879478828
548,BWI,CLT,64.0,239.0,307,20.846905537459282
111,ATL,BHM,26.0,280.0,307,8.469055374592834
707,CLT,BWI,71.0,233.0,307,23.127035830618894
192,ATL,MKE,37.0,270.0,307,12.052117263843648
1983,JFK,SEA,64.0,237.0,306,20.915032679738562
3724,SFO,IAH,57.0,195.0,306,18.627450980392158
3652,SEA,JFK,76.0,224.0,306,24.836601307189543
226,ATL,SAT,59.0,246.0,305,19.34426229508197
3547,SAT,ATL,33.0,270.0,305,10.819672131147541
1159,DFW,MSP,57.0,248.0,305,18.688524590163933
3665,SEA,MSP,29.0,276.0,305,9.508196721311476
2722,MSP,SEA,40.0,265.0,305,13.114754098360656
2379,MCO,LAX,61.0,242.0,304,20.06578947368421
3273,PHX,SJC,64.0,237.0,304,21.05263157894737
3534,SAN,ORD,28.0,272.0,304,9.210526315789474
2141,LAX,MCO,55.0,246.0,304,18.092105263157894
3915,SLC,SFO,111.0,191.0,304,36.51315789473684
3197,PHX,ATL,26.0,276.0,303,8.58085808580858
2613,MSN,ORD,49.0,248.0,303,16.17161716171617
3007,ORD,MSN,68.0,228.0,303,22.442244224422442
3812,SJC,PHX,70.0,229.0,303,23.102310231023104
1000,DEN,DTW,64.0,235.0,302,21.192052980132452
1309,DTW,SEA,31.0,271.0,302,10.264900662251655
212,ATL,PHX,48.0,253.0,302,15.894039735099337
1243,DTW,DEN,50.0,250.0,302,16.556291390728475
3638,SEA,DTW,21.0,281.0,302,6.953642384105961
3950,SMF,PHX,40.0,261.0,301,13.289036544850498
3275,PHX,SMF,70.0,229.0,301,23.25581395348837
3036,ORD,SAN,68.0,229.0,300,22.666666666666668
1378,EWR,CLT,56.0,238.0,300,18.666666666666668
280,AUS,LAX,54.0,242.0,300,18.0
3155,PHL,CLT,58.0,237.0,299,19.39799331103679
742,CLT,PHL,54.0,242.0,299,18.06020066889632
2104,LAX,AUS,54.0,240.0,299,18.06020066889632
188,ATL,MEM,44.0,252.0,299,14.715719063545151
2488,MEM,ATL,39.0,260.0,299,13.043478260869565
861,DAL,AUS,97.0,186.0,298,32.5503355704698
1232,DTW,BWI,53.0,238.0,298,17.78523489932886
1509,FLL,ORD,82.0,209.0,298,27.516778523489933
135,ATL,DAL,85.0,209.0,298,28.523489932885905
716,CLT,EWR,93.0,198.0,298,31.20805369127517
265,AUS,DAL,100.0,187.0,298,33.557046979865774
860,DAL,ATL,74.0,223.0,298,24.83221476510067
113,ATL,BNA,48.0,246.0,297,16.161616161616163
554,BWI,DTW,61.0,232.0,297,20.53872053872054
371,BNA,ATL,37.0,260.0,297,12.457912457912458
2966,ORD,FLL,44.0,247.0,297,14.814814814814815
3551,SAT,DAL,78.0,205.0,297,26.262626262626263
903,DAL,SAT,102.0,181.0,296,34.45945945945946
528,BUR,LAS,97.0,195.0,296,32.770270270270274
2034,LAS,BUR,84.0,208.0,296,28.37837837837838
1126,DFW,EWR,88.0,196.0,293,30.034129692832764
2834,OAK,SEA,102.0,191.0,293,34.81228668941979
3667,SEA,OAK,72.0,221.0,293,24.573378839590443
1244,DTW,DFW,62.0,229.0,293,21.160409556313994
730,CLT,MCO,70.0,220.0,292,23.972602739726028
2359,MCO,CLT,44.0,245.0,292,15.068493150684931
1042,DEN,MCO,48.0,241.0,290,16.551724137931036
2438,MDW,DEN,67.0,215.0,290,23.103448275862068
1043,DEN,MDW,77.0,207.0,290,26.551724137931036
3174,PHL,MSP,43.0,241.0,289,14.878892733564014
2365,MCO,DEN,63.0,226.0,289,21.79930795847751
2705,MSP,PHL,45.0,236.0,289,15.570934256055363
1089,DEN,SMF,64.0,223.0,289,22.14532871972318
3864,SLC,DFW,24.0,262.0,289,8.304498269896193
168,ATL,IAD,42.0,246.0,288,14.583333333333334
1192,DFW,SLC,57.0,228.0,287,19.860627177700348
2649,MSP,DFW,47.0,239.0,286,16.433566433566433
169,ATL,IAH,51.0,194.0,286,17.832167832167833
2749,MSY,HOU,85.0,143.0,286,29.72027972027972
2929,ORD,BNA,70.0,209.0,285,24.56140350877193
3933,SMF,DEN,32.0,249.0,285,11.228070175438596
1666,HOU,MSY,75.0,152.0,285,26.31578947368421
1265,DTW,LAS,27.0,252.0,281,9.608540925266905
981,DEN,BOS,79.0,202.0,281,28.11387900355872
2905,ONT,PHX,63.0,217.0,281,22.419928825622776
2048,LAS,DTW,23.0,254.0,281,8.185053380782918
3255,PHX,ONT,74.0,207.0,281,26.334519572953738
3440,RNO,LAS,84.0,193.0,280,30.0
2531,MIA,DCA,65.0,214.0,279,23.29749103942652
2085,LAS,RNO,94.0,183.0,279,33.691756272401435
948,DCA,MIA,64.0,214.0,279,22.939068100358423
2449,MDW,LAS,69.0,205.0,278,24.820143884892087
3143,PDX,SJC,52.0,226.0,278,18.705035971223023
678,CLE,LGA,71.0,186.0,277,25.63176895306859
445,BOS,DEN,66.0,209.0,277,23.826714801444044
2205,LGA,CLE,73.0,188.0,277,26.353790613718413
2145,LAX,MIA,57.0,217.0,276,20.652173913043477
2068,LAS,MDW,73.0,196.0,276,26.44927536231884
2540,MIA,LAX,51.0,224.0,276,18.47826086956522
2907,ONT,SFO,150.0,107.0,275,54.54545454545455
3746,SFO,ONT,115.0,145.0,275,41.81818181818182
1123,DFW,DTW,57.0,217.0,274,20.802919708029197
3160,PHL,DEN,75.0,193.0,274,27.37226277372263
1829,IAH,SEA,51.0,178.0,273,18.681318681318682
1064,DEN,PHL,65.0,207.0,273,23.80952380952381
3648,SEA,IAH,33.0,195.0,273,12.087912087912088
3845,SLC,ATL,13.0,260.0,273,4.761904761904762
3811,SJC,PDX,48.0,223.0,272,17.647058823529413
236,ATL,SLC,25.0,247.0,272,9.191176470588236
4077,TPA,CLT,31.0,241.0,272,11.397058823529411
764,CLT,TPA,54.0,217.0,271,19.92619926199262
988,DEN,CLT,49.0,220.0,270,18.14814814814815
2652,MSP,DTW,22.0,248.0,270,8.148148148148149
743,CLT,PHX,62.0,207.0,270,22.962962962962962
713,CLT,DEN,58.0,212.0,270,21.48148148148148
1282,DTW,MSP,25.0,245.0,270,9.25925925925926
973,DEN,AUS,60.0,202.0,269,22.304832713754646
3207,PHX,CLT,18.0,249.0,269,6.691449814126394
267,AUS,DEN,54.0,206.0,269,20.074349442379184
3144,PDX,SLC,15.0,253.0,268,5.597014925373134
3959,SNA,DFW,31.0,233.0,268,11.567164179104477
2942,ORD,CLE,40.0,226.0,268,14.925373134328359
1194,DFW,SNA,37.0,230.0,268,13.805970149253731
3902,SLC,PDX,20.0,248.0,268,7.462686567164179
933,DCA,DFW,53.0,213.0,267,19.850187265917604
207,ATL,ORF,22.0,244.0,266,8.270676691729323
3349,PVD,BWI,73.0,179.0,266,27.44360902255639
3061,ORF,ATL,32.0,233.0,266,12.030075187969924
584,BWI,PVD,68.0,189.0,266,25.56390977443609
3024,ORD,PIT,54.0,205.0,264,20.454545454545453
3137,PDX,PHX,40.0,223.0,263,15.209125475285171
3310,PIT,ORD,52.0,204.0,263,19.771863117870723
685,CLE,ORD,24.0,235.0,263,9.125475285171103
3257,PHX,PDX,54.0,209.0,263,20.53231939163498
1120,DFW,DCA,72.0,188.0,263,27.376425855513308
1272,DTW,MCO,25.0,237.0,263,9.505703422053232
3829,SJU,FLL,63.0,197.0,262,24.045801526717558
2367,MCO,DTW,25.0,237.0,262,9.541984732824428
1521,FLL,SJU,83.0,178.0,262,31.6793893129771
2831,OAK,PHX,60.0,198.0,261,22.988505747126435
1701,IAD,ATL,34.0,226.0,261,13.026819923371647
2728,MSP,STL,36.0,225.0,261,13.793103448275861
4009,STL,MSP,30.0,230.0,261,11.494252873563218
3251,PHX,OAK,52.0,206.0,261,19.92337164750958
2452,MDW,MCI,65.0,192.0,260,25.0
2327,MCI,MDW,57.0,199.0,260,21.923076923076923
401,BNA,ORD,61.0,192.0,259,23.55212355212355
2919,ORD,AUS,52.0,200.0,258,20.155038759689923
1384,EWR,DFW,59.0,193.0,258,22.868217054263567
928,DCA,CLT,34.0,222.0,257,13.229571984435797
712,CLT,DCA,49.0,204.0,254,19.291338582677167
599,BWI,TPA,72.0,174.0,254,28.346456692913385
3673,SEA,PDX,59.0,194.0,254,23.228346456692915
4075,TPA,BWI,53.0,191.0,254,20.866141732283463
3141,PDX,SEA,71.0,182.0,254,27.95275590551181
289,AUS,ORD,41.0,203.0,252,16.26984126984127
2091,LAS,SJC,68.0,177.0,251,27.09163346613546
1266,DTW,LAX,38.0,210.0,251,15.139442231075698
1808,IAH,MSY,50.0,151.0,251,19.9203187250996
2122,LAX,DTW,28.0,220.0,251,11.155378486055778
3802,SJC,LAS,84.0,163.0,250,33.6
1237,DTW,CLT,20.0,228.0,250,8.0
1581,GRR,ORD,63.0,179.0,249,25.301204819277107
1250,DTW,FLL,26.0,219.0,248,10.483870967741936
133,ATL,CVG,19.0,229.0,248,7.661290322580645
2542,MIA,MCO,46.0,201.0,248,18.548387096774192
1487,FLL,DTW,49.0,199.0,248,19.758064516129032
715,CLT,DTW,28.0,218.0,248,11.290322580645162
2386,MCO,MIA,49.0,199.0,248,19.758064516129032
820,CVG,ATL,20.0,227.0,247,8.097165991902834
2530,MIA,CLT,44.0,201.0,247,17.813765182186234
734,CLT,MIA,75.0,171.0,247,30.364372469635626
2518,MHT,BWI,57.0,175.0,246,23.170731707317074
3217,PHX,DTW,30.0,215.0,246,12.195121951219512
798,COS,DEN,43.0,201.0,246,17.479674796747968
1293,DTW,PHX,30.0,215.0,246,12.195121951219512
1128,DFW,FLL,53.0,190.0,245,21.632653061224488
570,BWI,MHT,63.0,173.0,245,25.714285714285715
747,CLT,RDU,54.0,191.0,245,22.040816326530614
3391,RDU,CLT,35.0,209.0,245,14.285714285714286
3258,PHX,PHL,57.0,185.0,245,23.26530612244898
1486,FLL,DFW,48.0,193.0,245,19.591836734693878
3123,PDX,LAS,32.0,212.0,244,13.114754098360656
2080,LAS,PDX,57.0,187.0,244,23.360655737704917
3180,PHL,PHX,71.0,171.0,244,29.098360655737704
3626,SEA,BOS,53.0,189.0,243,21.810699588477366
481,BOS,SEA,48.0,190.0,243,19.753086419753085
383,BNA,DFW,55.0,183.0,242,22.727272727272727
1106,DFW,BNA,49.0,191.0,242,20.24793388429752
2057,LAS,IAH,40.0,154.0,242,16.52892561983471
3051,ORD,STL,51.0,188.0,241,21.16182572614108
2822,OAK,LGB,61.0,179.0,241,25.311203319502074
2383,MCO,MDW,52.0,185.0,240,21.666666666666668
3097,PBI,LGA,58.0,170.0,240,24.166666666666668
2258,LGB,OAK,50.0,190.0,240,20.833333333333332
2236,LGA,PBI,57.0,176.0,240,23.75
382,BNA,DEN,65.0,173.0,240,27.083333333333332
2453,MDW,MCO,53.0,182.0,240,22.083333333333332
4146,TUS,LAX,55.0,184.0,240,22.916666666666668
2175,LAX,TUS,49.0,190.0,240,20.416666666666668
2093,LAS,SMF,70.0,164.0,239,29.288702928870293
1789,IAH,LAS,36.0,158.0,239,15.06276150627615
3941,SMF,LAS,58.0,175.0,238,24.369747899159663
3605,SDF,ATL,16.0,222.0,238,6.722689075630252
3015,ORD,OMA,57.0,177.0,238,23.949579831932773
229,ATL,SDF,23.0,215.0,238,9.663865546218487
3195,PHX,ABQ,46.0,185.0,237,19.40928270042194
21,ABQ,PHX,49.0,185.0,237,20.675105485232066
983,DEN,BWI,62.0,166.0,236,26.271186440677965
735,CLT,MSP,30.0,204.0,236,12.711864406779661
3543,SAN,SLC,22.0,213.0,235,9.361702127659575
1582,GSO,ATL,20.0,215.0,235,8.51063829787234
2887,OMA,ORD,39.0,192.0,235,16.595744680851062
161,ATL,GSO,23.0,211.0,235,9.787234042553191
552,BWI,DEN,43.0,182.0,234,18.376068376068375
3990,STL,DEN,52.0,179.0,234,22.22222222222222
2643,MSP,CLT,19.0,212.0,234,8.11965811965812
